Rack ID,Sample Number,Batch Number,Number Destinations,Total Samples In Batch
025DNA0002710,1,41,1,63
025DNA0002711,1,41,1,63
025DNA0002715,1,41,1,63
025DNA0002696,2,41,1,63
025DNA0002706,2,41,1,63
025DNA0002708,2,41,1,63
025DNA0002709,2,41,1,63
025DNA0002677,3,41,1,63
025DNA0002693,3,41,1,63
025DNA0002703,3,41,1,63
025DNA0002700,4,41,1,63
025DNA0002714,4,41,1,63
025DNA0002676,5,41,1,63
025DNA0002681,5,41,1,63
025DNA0002686,5,41,1,63
025DNA0002697,6,41,1,63
025DNA0002707,6,41,1,63
025DNA0002768,7,41,1,63

025DNA0002728,4,42,12,20
025DNA0002761,4,42,12,20
025DNA0002704,3,42,12,20
025DNA0002717,3,42,12,20
025DNA0002718,2,42,12,20
025DNA0002767,2,42,12,20
025DNA0002716,1,42,12,20
025DNA0002766,1,42,12,20


